Query	Marker	Taxonomy	Confident_Taxonomy	Abundance	Likelihood	WTD
scaffold138878	narG	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	0	0.999808	0.0
scaffold169985	narG	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Thalassospira; Thalassospira tepidiphila	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae	0	0.980091	0.0
scaffold05056	narG	Bacteria; Proteobacteria; Alphaproteobacteria; Pelagibacterales; environmental samples	Bacteria; Proteobacteria; Alphaproteobacteria; Pelagibacterales; environmental samples	0	1.0	0.0
scaffold129391	narG	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	0	0.999931	0.0
scaffold67728	narG	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	0	1.0	0.0
scaffold39969	narG	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Thalassospira; Thalassospira tepidiphila	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae	0	1.0	0.0
scaffold01011	narG	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Saccharibacteria; unclassified Saccharibacteria	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Saccharibacteria; unclassified Saccharibacteria	0	0.995278	0.12891
scaffold28810	narG	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	0	0.999999	0.0
scaffold49350	narG	Bacteria; Proteobacteria; Alphaproteobacteria; Pelagibacterales; environmental samples	Bacteria; Proteobacteria; Alphaproteobacteria; Pelagibacterales; environmental samples	0	1.0	0.0
scaffold36366	narG	Bacteria; Chlorobi; unclassified Chlorobi	Bacteria; Chlorobi; unclassified Chlorobi	0	0.996277	0.0
scaffold106271	narG	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	0	0.937596	0.0
scaffold273028	narG	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	0	0.999994	0.0
scaffold00884	narG	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Candidatus Thioglobus; environmental samples	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Candidatus Thioglobus	0	1.0	0.0
scaffold212003	narG	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Tistrella	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae	0	0.362896	0.0
scaffold04407	narG	Bacteria	Bacteria	0	0.918587	0.35744
scaffold04893	narG	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Saccharibacteria; unclassified Saccharibacteria	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Saccharibacteria; unclassified Saccharibacteria	0	0.6857	0.0
scaffold01249	narG	Archaea; Euryarchaeota; Halobacteria	Archaea; Euryarchaeota; Halobacteria	0	1.0	0.125
scaffold00238	narG	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Candidatus Thioglobus; environmental samples	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Candidatus Thioglobus	0	1.0	0.0
scaffold207306	narG	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Acetothermia; Candidatus Acetothermum	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Acetothermia; Candidatus Acetothermum	0	0.999954	0.06641
scaffold02365	narG	Bacteria; Proteobacteria; Gammaproteobacteria	Bacteria; Proteobacteria; Gammaproteobacteria	0	0.779042	0.11178
scaffold50231	narG	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Acetothermia; Candidatus Acetothermum	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Acetothermia; Candidatus Acetothermum	0	1.0	0.06641
scaffold197914	narG	Bacteria	Bacteria	0	0.334862	0.16797
scaffold01428	narG	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Candidatus Thioglobus; environmental samples	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Candidatus Thioglobus	0	1.0	0.0
scaffold226450	narG	Bacteria; Proteobacteria; Alphaproteobacteria; Pelagibacterales; environmental samples	Bacteria; Proteobacteria; Alphaproteobacteria; Pelagibacterales; environmental samples	0	0.999998	0.0
scaffold11691	narG	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Micrococcaceae; Kocuria	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Micrococcaceae	0	0.21938	0.0
scaffold197815	narG	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Paracoccus	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae	0	0.722523	0.0
scaffold198487	narG	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Thalassospira; Thalassospira tepidiphila	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae	0	1.0	0.0
scaffold03972	narG	Archaea; Euryarchaeota; Halobacteria	Archaea; Euryarchaeota; Halobacteria	0	0.999977	0.125
scaffold40857	narG	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	0	0.999998	0.0
scaffold74442	narG	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Acetothermia; Candidatus Acetothermum	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Acetothermia; Candidatus Acetothermum	0	0.799952	0.06641
scaffold214189	narG	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; sulfur-oxidizing symbionts; Calyptogena okutanii thioautotrophic gill symbiont	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; sulfur-oxidizing symbionts	0	0.635282	0.0
scaffold302118	narG	Bacteria; Proteobacteria; Alphaproteobacteria; Pelagibacterales; environmental samples	Bacteria; Proteobacteria; Alphaproteobacteria; Pelagibacterales; environmental samples	0	0.46984	0.0
scaffold304372	narG	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Acetothermia; Candidatus Acetothermum	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Acetothermia; Candidatus Acetothermum	0	0.99892	0.06641
scaffold142497	narG	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	0	0.999915	0.0
scaffold27318	narG	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Saccharibacteria; unclassified Saccharibacteria	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Saccharibacteria; unclassified Saccharibacteria	0	0.998282	0.0
scaffold32731	narG	Bacteria; Chlorobi; unclassified Chlorobi	Bacteria; Chlorobi; unclassified Chlorobi	0	0.992195	0.0
scaffold309941	narG	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Aromatoleum; Aromatoleum aromaticum	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae	0	0.978586	0.0
scaffold28947	narG	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Thalassospira; Thalassospira tepidiphila	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae	0	0.999995	0.0
scaffold189368	narG	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; sulfur-oxidizing symbionts; Calyptogena okutanii thioautotrophic gill symbiont	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; sulfur-oxidizing symbionts	0	0.995646	0.0
scaffold195753	narG	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Saccharibacteria; unclassified Saccharibacteria	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Saccharibacteria; unclassified Saccharibacteria	0	0.997874	0.12891
scaffold186359	narG	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Acetothermia; Candidatus Acetothermum	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Acetothermia; Candidatus Acetothermum	0	0.999964	0.06641
scaffold199338	narG	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Acetothermia; Candidatus Acetothermum	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Acetothermia; Candidatus Acetothermum	0	0.99663	0.06641
scaffold197509	narG	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	0	0.482437	0.0
scaffold91126	narG	Bacteria	Bacteria	0	0.223115	0.35744
scaffold318343	narG	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Thalassospira; Thalassospira tepidiphila	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae	0	0.970437	0.0
scaffold21436	narG	Bacteria; Chlorobi; unclassified Chlorobi	Bacteria; Chlorobi; unclassified Chlorobi	0	0.999999	0.0
scaffold248783	narG	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	0	1.0	0.0
scaffold63944	narG	Bacteria; Proteobacteria; Deltaproteobacteria; unclassified Deltaproteobacteria; unclassified Deltaproteobacteria 	Bacteria; Proteobacteria; Deltaproteobacteria; unclassified Deltaproteobacteria; unclassified Deltaproteobacteria 	0	0.701872	0.0
scaffold00277	narG	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Candidatus Thioglobus; environmental samples	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Candidatus Thioglobus	0	1.0	0.0
scaffold335443	narG	Bacteria	Bacteria	0	0.391249	0.16797
scaffold43208	narG	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Saccharibacteria; unclassified Saccharibacteria	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Saccharibacteria; unclassified Saccharibacteria	0	0.999396	0.0
scaffold28357	narG	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	0	1.0	0.0
scaffold95850	narG	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Saccharibacteria; unclassified Saccharibacteria	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Saccharibacteria; unclassified Saccharibacteria	0	0.947065	0.0
scaffold193490	narG	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Candidatus Thioglobus; environmental samples	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Candidatus Thioglobus	0	1.0	0.0
scaffold272127	narG	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Acetothermia; Candidatus Acetothermum	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Acetothermia; Candidatus Acetothermum	0	0.999982	0.06641
scaffold164469	narG	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Thalassospira; Thalassospira tepidiphila	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae	0	1.0	0.0
scaffold160040	narG	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	0	1.0	0.0
scaffold242934	narG	unclassified sequences; metagenomes; ecological metagenomes	unclassified sequences; metagenomes; ecological metagenomes	0	0.636522	0.0
scaffold41795	narG	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	0	1.0	0.0
scaffold153961	narG	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; Brucella canis	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae	0	0.452778	0.0
scaffold242711	narG	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	0	0.995308	0.0
scaffold60865	narG	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	0	0.999996	0.0
scaffold22674	narG	Archaea; Euryarchaeota; Halobacteria	Archaea; Euryarchaeota; Halobacteria	0	0.999344	0.125
scaffold02053	narG	Bacteria	Bacteria	0	0.767241	0.35744
scaffold146229	narG	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Acetothermia; Candidatus Acetothermum	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Acetothermia; Candidatus Acetothermum	0	1.0	0.06641
scaffold209796	narG	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Saccharibacteria; unclassified Saccharibacteria	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Saccharibacteria; unclassified Saccharibacteria	0	0.560675	0.12891
scaffold43761	narG	Archaea; Euryarchaeota; Halobacteria	Archaea; Euryarchaeota; Halobacteria	0	0.999705	0.125
scaffold69663	narG	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	0	1.0	0.0
scaffold84660	narG	Archaea; Euryarchaeota; Halobacteria	Archaea; Euryarchaeota; Halobacteria	0	1.0	0.125
scaffold284008	narG	unclassified sequences; metagenomes; ecological metagenomes	unclassified sequences; metagenomes; ecological metagenomes	0	0.552682	0.0
scaffold111504	narG	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Acetothermia; Candidatus Acetothermum	Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Acetothermia; Candidatus Acetothermum	0	0.995691	0.06641
scaffold233455	narG	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	0	1.0	0.0
scaffold118738	narG	Bacteria; Proteobacteria; Deltaproteobacteria; unclassified Deltaproteobacteria; unclassified Deltaproteobacteria 	Bacteria; Proteobacteria; Deltaproteobacteria; unclassified Deltaproteobacteria; unclassified Deltaproteobacteria 	0	0.455872	0.0
scaffold02914	narG	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Candidatus Thioglobus; environmental samples	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Candidatus Thioglobus	0	1.0	0.0
scaffold116722	narG	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	Bacteria; Candidatus Omnitrophica; unclassified Candidatus Omnitrophica	0	0.999392	0.0
scaffold04332	narG	Bacteria	Bacteria	0	0.918587	0.35744
scaffold306028	narG	unclassified sequences; metagenomes; ecological metagenomes	unclassified sequences; metagenomes; ecological metagenomes	0	0.998118	0.0
scaffold329380	narG	Bacteria; Proteobacteria; Alphaproteobacteria; Pelagibacterales; environmental samples	Bacteria; Proteobacteria; Alphaproteobacteria; Pelagibacterales; environmental samples	0	0.978212	0.0
scaffold73798	narG	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; Brucella canis	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae	0	0.990167	0.0
scaffold00564	narG	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Candidatus Thioglobus; environmental samples	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Candidatus Thioglobus	0	1.0	0.0
scaffold18772	narG	Archaea; Euryarchaeota; Halobacteria	Archaea; Euryarchaeota; Halobacteria	0	1.0	0.125
scaffold00664	narG	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Candidatus Thioglobus; environmental samples	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Candidatus Thioglobus	0	1.0	0.0
